"","NGI.ID","User.ID","Time","Sample.ID","Tissue","Replicate"
"1","P11601_101","PabB1C1","B1","B1C1","S","B1-S"
"2","P11601_102","PabB1C6","B1","B1C6","S","B1-S"
"3","P11601_103","PabB1C7","B1","B1C7","S","B1-S"
"4","P11601_104","PabB2C3","B2","B2C3","S","B2-S"
"5","P11601_105","PabB2C6","B2","B2C6","S","B2-S"
"6","P11601_106","PabB2C8","B2","B2C8","S","B2-S"
"7","P11601_107","PabB3C3","B3","B3C3","S","B3-S"
"8","P11601_108","PabB3C4","B3","B3C4","S","B3-S"
"52","P11601_201","PabB3C6","B3","B3C6","S","B3-S"
"9","P11601_110","PabB4C2_FMG","B4","B4C2","FMG","B4-FMG"
"10","P11601_111","PabB4C2_ZE","B4","B4C2","ZE","B4-ZE"
"11","P11601_112","PabB4C4_FMG","B4","B4C4","FMG","B4-FMG"
"12","P11601_113","PabB4C4_ZE","B4","B4C4","ZE","B4-ZE"
"13","P11601_114","PabB4C5_FMG","B4","B4C5","FMG","B4-FMG"
"14","P11601_115","PabB4C5_ZE","B4","B4C5","ZE","B4-ZE"
"15","P11601_116","PabB5C1_FMG","B5","B5C1","FMG","B5-FMG"
"16","P11601_117","PabB5C1_ZE","B5","B5C1","ZE","B5-ZE"
"17","P11601_118","PabB5C5_FMG","B5","B5C5","FMG","B5-FMG"
"18","P11601_119","PabB5C5_ZE","B5","B5C5","ZE","B5-ZE"
"19","P11601_120","PabB5C6_FMG","B5","B5C6","FMG","B5-FMG"
"20","P11601_121","PabB5C6_ZE","B5","B5C6","ZE","B5-ZE"
"21","P11601_123","PabB6C3_ZE","B6","B6C3","ZE","B6-ZE"
"22","P11601_124","PabB6C4_FMG","B6","B6C4","FMG","B6-FMG"
"23","P11601_125","PabB6C4_ZE","B6","B6C4","ZE","B6-ZE"
"24","P11601_126","PabB6C6_FMG","B6","B6C6","FMG","B6-FMG"
"25","P11601_127","PabB6C6_ZE","B6","B6C6","ZE","B6-ZE"
"57","P11601_206","PabB6C3_FMG","B6","B6C3","FMG","B6-FMG"
"53","P11601_202","PabB7C6_FMG","B7","B7C6","FMG","B7-FMG"
"26","P11601_128","PabB7C2_FMG","B7","B7C2","FMG","B7-FMG"
"27","P11601_129","PabB7C2_ZE","B7","B7C2","ZE","B7-ZE"
"28","P11601_130","PabB7C3_FMG","B7","B7C3","FMG","B7-FMG"
"29","P11601_131","PabB7C3_ZE","B7","B7C3","ZE","B7-ZE"
"30","P11601_133","PabB7C6_ZE","B7","B7C6","ZE","B7-ZE"
"31","P11601_134","PabB8C1_FMG","B8","B8C1","FMG","B8-FMG"
"32","P11601_135","PabB8C1_ZE","B8","B8C1","ZE","B8-ZE"
"33","P11601_136","PabB8C4_FMG","B8","B8C4","FMG","B8-FMG"
"34","P11601_137","PabB8C4_ZE","B8","B8C4","ZE","B8-ZE"
"35","P11601_138","PabB8C6_FMG","B8","B8C6","FMG","B8-FMG"
"36","P11601_139","PabB8C6_ZE","B8","B8C6","ZE","B8-ZE"
"37","P11601_140","PabB9C4_FMG","B9","B9C4","FMG","B9-FMG"
"38","P11601_141","PabB9C4_ZE","B9","B9C4","ZE","B9-ZE"
"39","P11601_142","PabB9C5_FMG","B9","B9C5","FMG","B9-FMG"
"40","P11601_143","PabB9C5_ZE","B9","B9C5","ZE","B9-ZE"
"41","P11601_145","PabB10S1_ZE","B10","B10S1","ZE","B10-ZE"
"54","P11601_203","PabB10S1_FMG","B10","B10S1","FMG","B10-FMG"
"48","P11601_153","Pab738_1_ZE","738","738_1","ZE","738-ZE"
"49","P11601_154","Pab738_2_FMG","738","738_2","FMG","738-FMG"
"50","P11601_155","Pab738_2_ZE","738","738_2","ZE","738-ZE"
"51","P11601_157","Pab738_3_ZE","738","738_3","ZE","738-ZE"
"55","P11601_204","Pab738-1_FMG","738","738_1","FMG","738-FMG"
"56","P11601_205","Pab738-3_FMG","738","738_3","FMG","738-FMG"
"42","P11601_146","Pab739_1_FMG","739","739_1","FMG","739-FMG"
"43","P11601_147","Pab739_1_ZE","739","739_1","ZE","739-ZE"
"44","P11601_148","Pab739_2_FMG","739","739_2","FMG","739-FMG"
"45","P11601_149","Pab739_2_ZE","739","739_2","ZE","739-ZE"
"46","P11601_150","Pab739_3_FMG","739","739_3","FMG","739-FMG"
"47","P11601_151","Pab739_3_ZE","739","739_3","ZE","739-ZE"
