User.ID,Time,Sample.ID,Tissue,Replicate,Mreads,X..Q30,NGI.ID
PabB1C1,B1,B1C1,S,B1-S,NA,NA,NA
PabB1C6,B1,B1C6,S,B1-S,NA,NA,NA
PabB1C7,B1,B1C7,S,B1-S,NA,NA,NA
PabB2C3,B2,B2C3,S,B2-S,NA,NA,NA
PabB2C6,B2,B2C6,S,B2-S,NA,NA,NA
PabB2C8,B2,B2C8,S,B2-S,NA,NA,NA
PabB3C3,B3,B3C3,S,B3-S,NA,NA,NA
PabB3C4,B3,B3C4,S,B3-S,NA,NA,NA
PabB3C6,B3,B3C6,S,B3-S,NA,NA,NA
PabB4C2_FMG,B4,B4C2,FMG,B4-FMG,NA,NA,NA
PabB4C2_ZE,B4,B4C2,ZE,B4-ZE,NA,NA,NA
PabB4C4_FMG,B4,B4C4,FMG,B4-FMG,NA,NA,NA
PabB4C4_ZE,B4,B4C4,ZE,B4-ZE,NA,NA,NA
PabB4C5_FMG,B4,B4C5,FMG,B4-FMG,NA,NA,NA
PabB4C5_ZE,B4,B4C5,ZE,B4-ZE,NA,NA,NA
PabB5C1_FMG,B5,B5C1,FMG,B5-FMG,NA,NA,NA
PabB5C1_ZE,B5,B5C1,ZE,B5-ZE,NA,NA,NA
PabB5C5_FMG,B5,B5C5,FMG,B5-FMG,NA,NA,NA
PabB5C5_ZE,B5,B5C5,ZE,B5-ZE,NA,NA,NA
PabB5C6_FMG,B5,B5C6,FMG,B5-FMG,NA,NA,NA
PabB5C6_ZE,B5,B5C6,ZE,B5-ZE,NA,NA,NA
PabB6C3_ZE,B6,B6C3,ZE,B6-ZE,NA,NA,NA
PabB6C4_FMG,B6,B6C4,FMG,B6-FMG,NA,NA,NA
PabB6C4_ZE,B6,B6C4,ZE,B6-ZE,NA,NA,NA
PabB6C6_FMG,B6,B6C6,FMG,B6-FMG,NA,NA,NA
PabB6C6_ZE,B6,B6C6,ZE,B6-ZE,NA,NA,NA
PabB6C3_FMG,B6,B6C3,FMG,B6-FMG,NA,NA,NA
PabB7C6_FMG,B7,B7C6,FMG,B7-FMG,NA,NA,NA
PabB7C2_FMG,B7,B7C2,FMG,B7-FMG,NA,NA,NA
PabB7C2_ZE,B7,B7C2,ZE,B7-ZE,NA,NA,NA
PabB7C3_FMG,B7,B7C3,FMG,B7-FMG,NA,NA,NA
PabB7C3_ZE,B7,B7C3,ZE,B7-ZE,NA,NA,NA
PabB7C6_ZE,B7,B7C6,ZE,B7-ZE,NA,NA,NA
PabB8C1_FMG,B8,B8C1,FMG,B8-FMG,NA,NA,NA
PabB8C1_ZE,B8,B8C1,ZE,B8-ZE,NA,NA,NA
PabB8C4_FMG,B8,B8C4,FMG,B8-FMG,NA,NA,NA
PabB8C4_ZE,B8,B8C4,ZE,B8-ZE,NA,NA,NA
PabB8C6_FMG,B8,B8C6,FMG,B8-FMG,NA,NA,NA
PabB8C6_ZE,B8,B8C6,ZE,B8-ZE,NA,NA,NA
PabB9C4_FMG,B9,B9C4,FMG,B9-FMG,NA,NA,NA
PabB9C4_ZE,B9,B9C4,ZE,B9-ZE,NA,NA,NA
PabB9C5_FMG,B9,B9C5,FMG,B9-FMG,NA,NA,NA
PabB9C5_ZE,B9,B9C5,ZE,B9-ZE,NA,NA,NA
PabB10S1_ZE,B10,B10S1,ZE,B10-ZE,NA,NA,NA
PabB10S1_FMG,B10,B10S1,FMG,B10-FMG,NA,NA,NA
Pab738_1_ZE,738,738_1,ZE,738-ZE,NA,NA,NA
Pab738_2_FMG,738,738_2,FMG,738-FMG,NA,NA,NA
Pab738_2_ZE,738,738_2,ZE,738-ZE,NA,NA,NA
Pab738_3_ZE,738,738_3,ZE,738-ZE,NA,NA,NA
Pab738-1_FMG,738,738_1,FMG,738-FMG,NA,NA,NA
Pab738-3_FMG,738,738_3,FMG,738-FMG,NA,NA,NA
Pab739_1_FMG,739,739_1,FMG,739-FMG,NA,NA,NA
Pab739_1_ZE,739,739_1,ZE,739-ZE,NA,NA,NA
Pab739_2_FMG,739,739_2,FMG,739-FMG,NA,NA,NA
Pab739_2_ZE,739,739_2,ZE,739-ZE,NA,NA,NA
Pab739_3_FMG,739,739_3,FMG,739-FMG,NA,NA,NA
